हेपेटाइटिस	hepatitis
बची	bachi
तपासणी	tapasni
</s>	</s>
अभ्यासकांना	abhyasakanna
मराठीचा	marathicha
पहिला	pahila
शिलालेख	shilalekh
सापडला	sapadla
तो	to
म्हणजे	mhanje
१	1
उनकेश्वराचा	unkeshvaracha
शिलालेख	shilalekh
इ.स	i.s
१२८९	1289
ला	la
आणि	aani
त्याहीपेक्षा	tyahipeksha
मागे	mage
जातांना	jatanna
श्रवणबेळगोळचा	shravanbelgolcha
शिलालेख	shilalekh
इ.स	i.s
९८३	983
ला	la
त्याही	tyahi
मागे	mage
अनेक	anek
मराठीचे	marathiche
उल्लेख	ullekh
शिलालेख	shilalekh
सापडतात	sapadtat
अगदी	agadi
इ.स	i.s
६८०	680
च्या	chya
ताम्रपटात	tamrapatat
पन्नास	pannas
आणि	ani
प्रिथवी	prithvi
हे	he
शब्द	shabda
आहेत	ahet
म्हणून	mhanun
ती	ti
मराठीची	marathichi
सुरुवात	suruvat
आहे	ahe
असे	ase
मानणार	mananar
अभ्यासक	abhyasak
आहेत	ahet
पण	pan
भाषातज्ज्ञांचे	bhashatadnyanche
त्यावर	tyavar
एकमत	ekmat
होत	hot
नाही	nahi
त्याचबरोबर	tyachbarobar
धर्मोपदेशमाला	dharmopadeshmala
इ	i
</s>	</s>
त्या	tya
संस्थेचे	sanstheche
ते	te
व्यवस्थापकीय	vyavasthapakiya
संचालक	sanchalak
होते	hote
</s>	</s>
धोबी	dhobi
किंवा	kivva
परीट	parit
हा	ha
बारा	baara
बलुतेदारांपैकी	balutedaranpaiki
एक	ek
आहे	ahe
</s>	</s>
शिवरायांची	shivarayanchi
गुप्त	gupt
खलबते	khalbate
येथेच	yethech
चालत	chalat
</s>	</s>
नेताजी	netaji
पालकर	palkar
यांची	yanchi
समाधी	samadhi
तामसा	taamsa
तालुका	taluka
हदगाव	hadgao
जि.नांदेड	ji.nanded
येथे	yethe
आहे	ahe
</s>	</s>
जोश	josh
टॉक्स	talks
एक	ek
भारतीय	bhartiya
स्टार्टअप	start-up
मीडिया	media
कंपनी	company
आहे	aahe
या	yaa
कंपनीचे	company che
मुख्यालय	mukhyalay
गुरगांव, हरियाणा	gurgaon,haryana
येथे	yethe
आहे	ahe
</s>	</s>
या	yaa
मराठवाड्यातील	marathvadyatil
समूहाचे	samuhache
काम	kaam
हे	he
श्रमाचे	shramache
आहे	ahe
</s>	</s>
जोलियाॅट-क्युरी	joliyat-curie
सुवर्ण	suvarna
शांती	shanti
पदकाने	padkane
१९६४	1964
पुरस्क्रुत	puraskrut
केले	kele
</s>	</s>
दोन्ही	donhi
स्थानकाकडून	sthanakakadun
रोज	roj
ही	hi
रेल्वे	railway
धावते	dhavte
</s>	</s>
१९८६	1986
-	-
मेक्सिकोच्या	mexicochya
डियेगो	diego
माराडोनाने	maradonane
इंग्लंडविरुद्ध	englandvirudha
हँड	hand
ऑफ	of
गॉड	god
व	va
गोल	goal
ऑफ	of
द	the
सेन्चुरी	century
नावाने	navane
प्रख्यात	prakhyat
झालेले	jhalele
गोल	goal
नोंदवून	nondavun
विजय	vijay
मिळवला	milavla
</s>	</s>
स्त्रीची	streechi
गर्भावस्था	garbhavastha
संपून	sampun
बालकाचा/बालकांचा	balakacha/balakancha
जन्म	janma
होण्याच्या	honyachya
क्रियेला	kriyela
प्रसूती	prasuti
म्हणतात	mhantat
</s>	</s>
दोन	don
किंवा	kivva
तीन	teen
पदांच्या	padanchya
माध्यमातून	madhyamatun
रती,वात्सल्य	rati,vatsalya
आणि	ani
भक्ती	bhakti
या	yaa
प्रेमाच्या	premachya
विविध	vividh
छटांचे	chatanche
दर्शन	darshan
घडवले	ghadavle
जाते	jate
</s>	</s>
गडकरी	gadkari
या	yaa
नावाचे	navache
मराठी	marathi
नाटकादी	natakadi
साहित्यासाठी	sahityasathi
अनेक	anek
पुरस्कार	puraskar
आहे	ahet
वेगवेगळ्या	vegveglya
संस्था	sanstha
हे	he
पुरस्कार	puraskar
देतात	detat
</s>	</s>
सध्या	sadhya
या	yaa
विद्यापीठाचे	vidyapithache
कुलगुरू	kulguru
हे	he
डॉ	dr
</s>	</s>
भारतीय	bhartiya
हवामानात	havamanat
वैविध्यता	vaividhyata
येण्यास	yenyas
मुख्यत्वे	mukhyatve
येथील	yethil
भौगोलिक	bhaugolik
परिस्थिती	paristhiti
जवाबदार	javabdar
आहे	ahe
व	va
हवामानाचे	havamanache
संपुर्ण	sampurna
नियंत्रण	niyantran
हे	he
उत्तरेतील	uttaratil
हिमालय	himalay
व	va
पश्चिमेतील	paschimetil
थरच्या	tharchya
वाळवंटामुळे	valvantamule
होते	hote
</s>	</s>
शैव	shaiv
ग्रंथांनुसार	granthanusar
विष्णूच्या	vishnuchya
उग्र	ugra
नृसिंहावतारास	narasimhaavataras
काबूत	kaabut
आणण्यासाठी	annyasathi
व	va
त्याला	tyala
नृसिंहावतारातून	narsimhavataratun
मूळ	mul
सौम्य	soumya
रूपात	rupat
परत	parat
आणण्यासाठी	annyasathi
शंकराने	shankarane
शरभाचा	sharabhacha
अवतार	avatar
घेतला	ghetla
</s>	</s>
त्यानंतर	tyanantar
मालवाहतूक	malvahatuk
केंद्र	kendra
अर्थात	arthat
कार्गो	cargo
हब	hub
विकसवण्याचा	vikasvanyacha
आराखडा	arakhada
तयार	tayaar
करण्यात	karnyat
आला	ala
</s>	</s>
१९७१	1971
च्या	chya
लोकसभा	loksabha
निवडणुकांमध्ये	nivadnukanmadhye
उत्तर	uttar
प्रदेश	pradesh
राज्यातील	rajyatil
मुरादाबाद	muradabad
लोकसभा	loksabha
मतदारसंघातून	matadarsanghatun
लोकसभेवर	loksabhevar
निवडून	nivadun
गेले	gele
</s>	</s>
तेंडुलकरच्या	tendulkarchya
नावे	naave
एका	eka
वर्षात	varshat
१०००	1000
धावा	dhava
करण्याचा	karnyacha
विक्रम	vikram
आहे	ahe
</s>	</s>
बुधभूषण	budhbhushan
हा	ha
स्वतंत्र	swatantra
ग्रंथ	grantha
नाही	nahi
</s>	</s>
देवाच्या	devachya
नावाने	navane
राखून	rakhun
ठेवले	thevle
असल्याने	aslyane
या	ya
वनाला	vanala
वृक्षतोडीपासून	vrukshatodipasun
एकप्रकारचे	ekprakarche
