हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
अभ्यासकांना मराठीचा पहिला शिलालेख सापडला तो म्हणजे १) उनकेश्वराचा शिलालेख इ.स. १२८९ ला. आणि त्याहीपेक्षा मागे जातांना श्रवणबेळगोळचा शिलालेख इ.स. ९८३ ला. त्याही मागे अनेक मराठीचे उल्लेख, शिलालेख सापडतात अगदी इ.स. ६८० च्या ताम्रपटात 'पन्नास, आणि प्रिथवी' हे शब्द आहेत म्हणून ती मराठीची सुरुवात आहे असे मानणार अभ्यासक आहेत पण भाषातज्ज्ञांचे त्यावर एकमत होत नाही. त्याचबरोबर 'धर्मोपदेशमाला' (इ.	abhyasakanna marathicha pahila shilalekh sapadla to mhanje 1) Unkeshvaracha shilalekh i.s. 1289 la aani tyahipeksha mage jatanna Shravanbelgolcha shilalekh i.s. 983 la. Tyahi mage anek marathiche ullekh, shilalekh sapadtat agadi i.s. 680 chya tamrapatat 'pannas, ani prithvi' he shabda ahet mhanun ti marathichi suruvat ahe ase mananar abhyasak ahet pan bhashatadnyanche tyavar ekmat hot nahi. Tyachbarobar 'dharmopadeshmala' (i.
त्या संस्थेचे ते व्यवस्थापकीय संचालक होते.	tya sanstheche te vyavasthapakiya sanchalak hote.
धोबी किंवा परीट हा बारा बलुतेदारांपैकी एक आहे.	dhobi kivva parit ha baara balutedaranpaiki ek ahe.
शिवरायांची गुप्त खलबते येथेच चालत.	Shivarayanchi gupt khalbate yethech chalat.
नेताजी पालकर यांची समाधी तामसा (तालुका .हदगाव, जि.नांदेड) येथे आहे.	Netaji Palkar yanchi samadhi Taamsa (taluka. Hadgao, ji.Nanded) yethe ahe.
जोश टॉक्स एक भारतीय स्टार्टअप मीडिया कंपनी आहे, या कंपनीचे मुख्यालय गुरगांव, हरियाणा येथे आहे.	Josh Talks ek bhartiya start-up media company aahe, yaa company che mukhyalay Gurgaon,Haryana yethe ahe.
या मराठवाड्यातील समूहाचे काम हे श्रमाचे आहे.	yaa marathvadyatil samuhache kaam he shramache ahe.
जोलियाॅट-क्युरी सुवर्ण शांती पदकाने १९६४ पुरस्क्रुत केले.	Joliyat-Curie suvarna shanti padkane 1964 puraskrut kele.
दोन्ही स्थानकाकडून रोज ही रेल्वे धावते.	donhi sthanakakadun roj hi railway dhavte.
१९८६ - मेक्सिकोच्या डियेगो माराडोनाने इंग्लंडविरुद्ध हँड ऑफ गॉड व गोल ऑफ द सेन्चुरी नावाने प्रख्यात झालेले गोल नोंदवून विजय मिळवला.	1986 - Mexicochya Diego Maradonane Englandvirudha Hand of God va Goal of the century navane prakhyat jhalele goal nondavun vijay milavla.
