हेपेटाइटिस- बची तपासणी.	3	hepatitis- bachi tapasni.	3	
अभ्यासकांना मराठीचा पहिला शिलालेख सापडला तो म्हणजे १) उनकेश्वराचा शिलालेख इ.स. १२८९ ला. आणि त्याहीपेक्षा मागे जातांना श्रवणबेळगोळचा शिलालेख इ.स. ९८३ ला. त्याही मागे अनेक मराठीचे उल्लेख, शिलालेख सापडतात	29	abhyasakanna marathicha pahila shilalekh sapadla to mhanje 1) Unkeshvaracha shilalekh i.s. 1289 la aani tyahipeksha mage jatanna Shravanbelgolcha shilalekh i.s. 983 la. Tyahi mage anek marathiche ullekh, shilalekh sapadtat	29	
अगदी इ.स. ६८० च्या ताम्रपटात 'पन्नास, आणि प्रिथवी' हे शब्द आहेत म्हणून ती मराठीची सुरुवात आहे असे मानणार अभ्यासक आहेत पण भाषातज्ज्ञांचे त्यावर एकमत होत नाही. त्याचबरोबर 'धर्मोपदेशमाला' (इ.	29	agadi i.s. 680 chya tamrapatat 'pannas, ani prithvi' he shabda ahet mhanun ti marathichi suruvat ahe ase mananar abhyasak ahet pan bhashatadnyanche tyavar ekmat hot nahi. Tyachbarobar 'dharmopadeshmala' (i.	29	
त्या संस्थेचे ते व्यवस्थापकीय संचालक होते.	6	tya sanstheche te vyavasthapakiya sanchalak hote.	6	
धोबी किंवा परीट हा बारा बलुतेदारांपैकी एक आहे.	8	dhobi kivva parit ha baara balutedaranpaiki ek ahe.	8	
शिवरायांची गुप्त खलबते येथेच चालत.	5	Shivarayanchi gupt khalbate yethech chalat.	5	
नेताजी पालकर यांची समाधी तामसा (तालुका .हदगाव, जि.नांदेड) येथे आहे.	10	Netaji Palkar yanchi samadhi Taamsa (taluka. Hadgao, ji.Nanded) yethe ahe.	10	
जोश टॉक्स एक भारतीय स्टार्टअप मीडिया कंपनी आहे, या कंपनीचे मुख्यालय गुरगांव, हरियाणा येथे आहे.	15	Josh Talks ek bhartiya start-up media company aahe, yaa company che mukhyalay Gurgaon,Haryana yethe ahe.	15	
या मराठवाड्यातील समूहाचे काम हे श्रमाचे आहे.	7	yaa marathvadyatil samuhache kaam he shramache ahe.	7	
जोलियाॅट-क्युरी सुवर्ण शांती पदकाने १९६४ पुरस्क्रुत केले.	7	Joliyat-Curie suvarna shanti padkane 1964 puraskrut kele.	7	
दोन्ही स्थानकाकडून रोज ही रेल्वे धावते.	6	donhi sthanakakadun roj hi railway dhavte.	6	
१९८६ - मेक्सिकोच्या डियेगो माराडोनाने इंग्लंडविरुद्ध हँड ऑफ गॉड व गोल ऑफ द सेन्चुरी नावाने प्रख्यात झालेले गोल नोंदवून विजय मिळवला.	21	1986 - Mexicochya Diego Maradonane Englandvirudha Hand of God va Goal of the century navane prakhyat jhalele goal nondavun vijay milavla.	21	
स्त्रीची गर्भावस्था संपून बालकाचा/बालकांचा जन्म होण्याच्या क्रियेला प्रसूती म्हणतात.	9	streechi garbhavastha sampun balakacha/balakancha janma honyachya kriyela prasuti mhantat.	9	
दोन किंवा तीन पदांच्या माध्यमातून रती,वात्सल्य आणि भक्ती या प्रेमाच्या विविध छटांचे दर्शन घडवले जाते.	15	don kivva teen padanchya madhyamatun rati,vatsalya ani bhakti yaa premachya vividh chatanche darshan ghadavle jate.	15	
गडकरी या नावाचे मराठी नाटकादी साहित्यासाठी अनेक पुरस्कार आहे. वेगवेगळ्या संस्था हे पुरस्कार देतात.	14	Gadkari yaa navache marathi natakadi sahityasathi anek puraskar ahet. Vegveglya sanstha he puraskar detat.	14	
सध्या या विद्यापीठाचे कुलगुरू हे डॉ.	6	sadhya yaa vidyapithache kulguru he Dr.	6	
भारतीय हवामानात वैविध्यता येण्यास मुख्यत्वे येथील भौगोलिक परिस्थिती जवाबदार आहे व हवामानाचे संपुर्ण नियंत्रण हे उत्तरेतील हिमालय व पश्चिमेतील थरच्या वाळवंटामुळे होते.	22	bhartiya havamanat vaividhyata yenyas mukhyatve yethil bhaugolik paristhiti javabdar ahe va havamanache sampurna niyantran he uttaratil Himalay va paschimetil Tharchya valvantamule hote.	22	
शैव ग्रंथांनुसार विष्णूच्या उग्र नृसिंहावतारास काबूत आणण्यासाठी व त्याला नृसिंहावतारातून मूळ सौम्य रूपात परत आणण्यासाठी शंकराने शरभाचा अवतार घेतला.	19	Shaiv granthanusar Vishnuchya ugra Narasimhaavataras kaabut annyasathi va tyala Narsimhavataratun mul soumya rupat parat annyasathi Shankarane Sharabhacha avatar ghetla.	19	
त्यानंतर मालवाहतूक केंद्र, अर्थात कार्गो हब, विकसवण्याचा आराखडा तयार करण्यात आला.	11	tyanantar malvahatuk kendra, arthat cargo hub, vikasvanyacha arakhada tayaar karnyat ala.	11	
१९७१ च्या लोकसभा निवडणुकांमध्ये उत्तर प्रदेश राज्यातील मुरादाबाद लोकसभा मतदारसंघातून लोकसभेवर निवडून गेले.	13	1971 chya Loksabha nivadnukanmadhye Uttar Pradesh rajyatil Muradabad loksabha matadarsanghatun Loksabhevar nivadun gele.	13	
तेंडुलकरच्या नावे एका वर्षात १००० धावा करण्याचा विक्रम आहे.	9	Tendulkarchya naave eka varshat 1000 dhava karnyacha vikram ahe.	9	
बुधभूषण हा स्वतंत्र ग्रंथ नाही.	5	Budhbhushan ha swatantra grantha nahi.	5	
